🚀 Training with 1 GPUs (DDP)
Per-GPU batch size: 1
Gradient accumulation steps: 64
Total effective batch size: 64
Device: cuda:0
Loading BPE Map from wikipedia-50/bpe_vocab_map.json
Phoneme vocab size: 137
Pruned BPE vocab size: 23181
Loading training dataset from wikipedia-50/train
Training dataset size: 599059
Filtering samples longer than 1024 tokens...
Filtered dataset: 270295/599059 samples valid (328764 skipped)
Step 100/1000000 | Loss: 37.2504 | LR: 1.00e-11 | MLM: 5.3568 | CTC: 31.8936
Step 200/1000000 | Loss: 36.7852 | LR: 3.00e-11 | MLM: 5.2442 | CTC: 31.5410
Step 300/1000000 | Loss: 35.4829 | LR: 4.00e-11 | MLM: 5.1865 | CTC: 30.2964
Step 400/1000000 | Loss: 32.5753 | LR: 6.00e-11 | MLM: 5.0981 | CTC: 27.4772
Step 500/1000000 | Loss: 31.7148 | LR: 7.00e-11 | MLM: 5.0232 | CTC: 26.6916
Step 600/1000000 | Loss: 26.1089 | LR: 9.00e-11 | MLM: 4.9295 | CTC: 21.1794
Step 700/1000000 | Loss: 24.9509 | LR: 1.00e-10 | MLM: 4.8944 | CTC: 20.0566
Step 800/1000000 | Loss: 20.5022 | LR: 1.20e-10 | MLM: 4.7706 | CTC: 15.7315
Step 900/1000000 | Loss: 16.8795 | LR: 1.40e-10 | MLM: 4.6683 | CTC: 12.2112
Step 1000/1000000 | Loss: 16.1052 | LR: 1.50e-10 | MLM: 4.6372 | CTC: 11.4679
Step 1100/1000000 | Loss: 14.5498 | LR: 1.70e-10 | MLM: 4.5987 | CTC: 9.9511
Step 1200/1000000 | Loss: 14.1433 | LR: 1.80e-10 | MLM: 4.5063 | CTC: 9.6370
Step 1300/1000000 | Loss: 13.3594 | LR: 2.00e-10 | MLM: 4.1110 | CTC: 9.2483
Step 1400/1000000 | Loss: 12.9212 | LR: 2.10e-10 | MLM: 3.9899 | CTC: 8.9313
Step 1500/1000000 | Loss: 13.0015 | LR: 2.30e-10 | MLM: 4.0516 | CTC: 8.9499
Step 1600/1000000 | Loss: 12.2778 | LR: 2.50e-10 | MLM: 3.6224 | CTC: 8.6554
Step 1700/1000000 | Loss: 11.6817 | LR: 2.60e-10 | MLM: 3.5640 | CTC: 8.1177
Step 1800/1000000 | Loss: 11.5645 | LR: 2.80e-10 | MLM: 3.6227 | CTC: 7.9418
Step 1900/1000000 | Loss: 11.7539 | LR: 2.90e-10 | MLM: 3.8220 | CTC: 7.9318
Step 2000/1000000 | Loss: 11.4301 | LR: 3.10e-10 | MLM: 3.7963 | CTC: 7.6338
Step 2100/1000000 | Loss: 10.8168 | LR: 3.20e-10 | MLM: 3.5395 | CTC: 7.2772
Step 2200/1000000 | Loss: 10.4022 | LR: 3.40e-10 | MLM: 3.3585 | CTC: 7.0437
Step 2300/1000000 | Loss: 10.7250 | LR: 3.50e-10 | MLM: 3.5882 | CTC: 7.1368
Step 2400/1000000 | Loss: 9.9068 | LR: 3.70e-10 | MLM: 3.2169 | CTC: 6.6899
Step 2500/1000000 | Loss: 10.2632 | LR: 3.90e-10 | MLM: 3.4664 | CTC: 6.7969
Step 2600/1000000 | Loss: 9.8515 | LR: 4.00e-10 | MLM: 3.3861 | CTC: 6.4654
Step 2700/1000000 | Loss: 9.7976 | LR: 4.20e-10 | MLM: 3.1232 | CTC: 6.6744
Step 2800/1000000 | Loss: 9.7600 | LR: 4.30e-10 | MLM: 3.2444 | CTC: 6.5156
Step 2900/1000000 | Loss: 8.8414 | LR: 4.50e-10 | MLM: 2.8552 | CTC: 5.9862
Step 3000/1000000 | Loss: 9.0493 | LR: 4.60e-10 | MLM: 2.9955 | CTC: 6.0538
Step 3100/1000000 | Loss: 8.6198 | LR: 4.80e-10 | MLM: 2.9081 | CTC: 5.7117
Step 3200/1000000 | Loss: 8.4091 | LR: 5.00e-10 | MLM: 2.7305 | CTC: 5.6786
Step 3300/1000000 | Loss: 8.7735 | LR: 5.10e-10 | MLM: 3.1378 | CTC: 5.6358
Step 3400/1000000 | Loss: 8.8982 | LR: 5.30e-10 | MLM: 3.4680 | CTC: 5.4302
Step 3500/1000000 | Loss: 8.9326 | LR: 5.40e-10 | MLM: 2.9738 | CTC: 5.9589
Step 3600/1000000 | Loss: 9.1642 | LR: 5.60e-10 | MLM: 3.5051 | CTC: 5.6591
Step 3700/1000000 | Loss: 7.8293 | LR: 5.70e-10 | MLM: 2.5620 | CTC: 5.2673
Step 3800/1000000 | Loss: 7.8417 | LR: 5.90e-10 | MLM: 2.7840 | CTC: 5.0576
Step 3900/1000000 | Loss: 8.4276 | LR: 6.00e-10 | MLM: 3.3112 | CTC: 5.1164
Step 4000/1000000 | Loss: 8.1581 | LR: 6.20e-10 | MLM: 2.7547 | CTC: 5.4034
Step 4100/1000000 | Loss: 8.9123 | LR: 6.40e-10 | MLM: 3.0804 | CTC: 5.8319
Step 4200/1000000 | Loss: 8.2657 | LR: 6.50e-10 | MLM: 3.3231 | CTC: 4.9426
Step 4300/1000000 | Loss: 7.8666 | LR: 6.70e-10 | MLM: 3.0990 | CTC: 4.7675
Step 4400/1000000 | Loss: 8.6152 | LR: 6.80e-10 | MLM: 3.1803 | CTC: 5.4348
Step 4500/1000000 | Loss: 8.4899 | LR: 7.00e-10 | MLM: 2.9113 | CTC: 5.5786
Step 4600/1000000 | Loss: 8.4774 | LR: 7.10e-10 | MLM: 3.1310 | CTC: 5.3464
Step 4700/1000000 | Loss: 7.7660 | LR: 7.30e-10 | MLM: 2.5497 | CTC: 5.2163
Step 4800/1000000 | Loss: 7.4999 | LR: 7.50e-10 | MLM: 2.8232 | CTC: 4.6767
Step 4900/1000000 | Loss: 8.4944 | LR: 7.60e-10 | MLM: 3.5023 | CTC: 4.9921
Step 5000/1000000 | Loss: 8.4278 | LR: 7.80e-10 | MLM: 3.1920 | CTC: 5.2358
Step 5100/1000000 | Loss: 7.9304 | LR: 7.90e-10 | MLM: 2.9309 | CTC: 4.9994
Step 5200/1000000 | Loss: 9.4419 | LR: 8.10e-10 | MLM: 3.7939 | CTC: 5.6480
Step 5300/1000000 | Loss: 8.0853 | LR: 8.20e-10 | MLM: 2.7572 | CTC: 5.3280
Step 5400/1000000 | Loss: 8.8373 | LR: 8.40e-10 | MLM: 3.3262 | CTC: 5.5111
Step 5500/1000000 | Loss: 7.9109 | LR: 8.50e-10 | MLM: 2.6240 | CTC: 5.2869
Step 5600/1000000 | Loss: 8.4882 | LR: 8.70e-10 | MLM: 2.5412 | CTC: 5.9470
Step 5700/1000000 | Loss: 8.3304 | LR: 8.90e-10 | MLM: 3.0139 | CTC: 5.3165
Step 5800/1000000 | Loss: 9.4504 | LR: 9.00e-10 | MLM: 3.7786 | CTC: 5.6717
Step 5900/1000000 | Loss: 8.0821 | LR: 9.20e-10 | MLM: 2.9660 | CTC: 5.1161
Step 6000/1000000 | Loss: 7.9673 | LR: 9.30e-10 | MLM: 3.0094 | CTC: 4.9579
Step 6100/1000000 | Loss: 7.9442 | LR: 9.50e-10 | MLM: 2.8172 | CTC: 5.1269
Step 6200/1000000 | Loss: 6.8480 | LR: 9.60e-10 | MLM: 2.1531 | CTC: 4.6949
Step 6300/1000000 | Loss: 8.8534 | LR: 9.80e-10 | MLM: 3.0937 | CTC: 5.7597
Step 6400/1000000 | Loss: 8.1568 | LR: 1.00e-09 | MLM: 2.2926 | CTC: 5.8643
Step 6500/1000000 | Loss: 8.0866 | LR: 1.01e-09 | MLM: 2.7908 | CTC: 5.2958
Step 6600/1000000 | Loss: 8.0722 | LR: 1.03e-09 | MLM: 2.9865 | CTC: 5.0857
Step 6700/1000000 | Loss: 7.9692 | LR: 1.04e-09 | MLM: 2.7849 | CTC: 5.1843
Step 6800/1000000 | Loss: 8.5980 | LR: 1.06e-09 | MLM: 2.9224 | CTC: 5.6756
Step 6900/1000000 | Loss: 8.1261 | LR: 1.07e-09 | MLM: 2.9709 | CTC: 5.1552
Step 7000/1000000 | Loss: 8.0117 | LR: 1.09e-09 | MLM: 3.2471 | CTC: 4.7646
Step 7100/1000000 | Loss: 7.3120 | LR: 1.10e-09 | MLM: 3.0794 | CTC: 4.2326
Step 7200/1000000 | Loss: 8.8752 | LR: 1.12e-09 | MLM: 3.2361 | CTC: 5.6392
Step 7300/1000000 | Loss: 7.2200 | LR: 1.14e-09 | MLM: 2.7959 | CTC: 4.4241
Step 7400/1000000 | Loss: 7.4821 | LR: 1.15e-09 | MLM: 2.7699 | CTC: 4.7123
Step 7500/1000000 | Loss: 7.0165 | LR: 1.17e-09 | MLM: 2.6329 | CTC: 4.3836
Step 7600/1000000 | Loss: 7.6688 | LR: 1.18e-09 | MLM: 2.5769 | CTC: 5.0919
Step 7700/1000000 | Loss: 7.1779 | LR: 1.20e-09 | MLM: 2.9555 | CTC: 4.2223
Step 7800/1000000 | Loss: 7.3670 | LR: 1.21e-09 | MLM: 3.1329 | CTC: 4.2341
Step 7900/1000000 | Loss: 7.4550 | LR: 1.23e-09 | MLM: 2.6472 | CTC: 4.8078
Step 8000/1000000 | Loss: 6.4410 | LR: 1.25e-09 | MLM: 2.3671 | CTC: 4.0739
Step 8100/1000000 | Loss: 6.8230 | LR: 1.26e-09 | MLM: 2.5243 | CTC: 4.2987
Step 8200/1000000 | Loss: 6.9376 | LR: 1.28e-09 | MLM: 2.8179 | CTC: 4.1198
Step 8300/1000000 | Loss: 7.3957 | LR: 1.29e-09 | MLM: 2.7879 | CTC: 4.6078
Step 8400/1000000 | Loss: 7.3669 | LR: 1.31e-09 | MLM: 2.7186 | CTC: 4.6483
Step 8500/1000000 | Loss: 6.6741 | LR: 1.32e-09 | MLM: 3.0816 | CTC: 3.5926
Step 8600/1000000 | Loss: 7.4673 | LR: 1.34e-09 | MLM: 2.9280 | CTC: 4.5392
Step 8700/1000000 | Loss: 5.8128 | LR: 1.35e-09 | MLM: 2.1721 | CTC: 3.6407
Step 8800/1000000 | Loss: 7.6100 | LR: 1.37e-09 | MLM: 2.9205 | CTC: 4.6895
Step 8900/1000000 | Loss: 6.3566 | LR: 1.39e-09 | MLM: 2.6928 | CTC: 3.6638
Step 9000/1000000 | Loss: 6.7859 | LR: 1.40e-09 | MLM: 3.0175 | CTC: 3.7683
Step 9100/1000000 | Loss: 7.2262 | LR: 1.42e-09 | MLM: 2.7456 | CTC: 4.4806
Step 9200/1000000 | Loss: 7.3960 | LR: 1.43e-09 | MLM: 2.7477 | CTC: 4.6483
Step 9300/1000000 | Loss: 5.9184 | LR: 1.45e-09 | MLM: 2.8201 | CTC: 3.0982
Step 9400/1000000 | Loss: 5.9352 | LR: 1.46e-09 | MLM: 2.7837 | CTC: 3.1514
Step 9500/1000000 | Loss: 6.6257 | LR: 1.48e-09 | MLM: 3.1956 | CTC: 3.4302
Step 9600/1000000 | Loss: 6.8648 | LR: 1.50e-09 | MLM: 2.5494 | CTC: 4.3154
Step 9700/1000000 | Loss: 7.0975 | LR: 1.51e-09 | MLM: 2.7650 | CTC: 4.3325
Step 9800/1000000 | Loss: 7.5437 | LR: 1.53e-09 | MLM: 3.3652 | CTC: 4.1785
Step 9900/1000000 | Loss: 6.1173 | LR: 1.54e-09 | MLM: 2.7433 | CTC: 3.3739
Step 10000/1000000 | Loss: 7.0268 | LR: 1.56e-09 | MLM: 2.7567 | CTC: 4.2701
Step 10100/1000000 | Loss: 5.8096 | LR: 1.57e-09 | MLM: 2.6619 | CTC: 3.1477
Step 10200/1000000 | Loss: 7.6348 | LR: 1.59e-09 | MLM: 3.0179 | CTC: 4.6169
Step 10300/1000000 | Loss: 6.1106 | LR: 1.60e-09 | MLM: 2.4902 | CTC: 3.6203
Step 10400/1000000 | Loss: 7.3379 | LR: 1.62e-09 | MLM: 2.9773 | CTC: 4.3606
Step 10500/1000000 | Loss: 5.8516 | LR: 1.64e-09 | MLM: 2.6434 | CTC: 3.2082
Step 10600/1000000 | Loss: 5.0932 | LR: 1.65e-09 | MLM: 2.6372 | CTC: 2.4560
Step 10700/1000000 | Loss: 6.1096 | LR: 1.67e-09 | MLM: 3.4558 | CTC: 2.6538
Step 10800/1000000 | Loss: 7.1895 | LR: 1.68e-09 | MLM: 3.0327 | CTC: 4.1568
Step 10900/1000000 | Loss: 6.5868 | LR: 1.70e-09 | MLM: 2.9944 | CTC: 3.5924
Step 11000/1000000 | Loss: 7.1796 | LR: 1.71e-09 | MLM: 3.0093 | CTC: 4.1703
Step 11100/1000000 | Loss: 5.5517 | LR: 1.73e-09 | MLM: 2.8064 | CTC: 2.7453
Step 11200/1000000 | Loss: 8.8153 | LR: 1.75e-09 | MLM: 3.9868 | CTC: 4.8285
Step 11300/1000000 | Loss: 6.5446 | LR: 1.76e-09 | MLM: 2.7754 | CTC: 3.7692
Step 11400/1000000 | Loss: 5.7904 | LR: 1.78e-09 | MLM: 3.1608 | CTC: 2.6295
Step 11500/1000000 | Loss: 5.6052 | LR: 1.79e-09 | MLM: 3.1197 | CTC: 2.4855
Step 11600/1000000 | Loss: 5.4747 | LR: 1.81e-09 | MLM: 2.9811 | CTC: 2.4937
Step 11700/1000000 | Loss: 5.6162 | LR: 1.82e-09 | MLM: 2.6244 | CTC: 2.9917
Step 11800/1000000 | Loss: 7.1107 | LR: 1.84e-09 | MLM: 2.8410 | CTC: 4.2696
Step 11900/1000000 | Loss: 6.3420 | LR: 1.85e-09 | MLM: 2.5144 | CTC: 3.8277
Step 12000/1000000 | Loss: 5.7962 | LR: 1.87e-09 | MLM: 3.2820 | CTC: 2.5142
Step 12100/1000000 | Loss: 6.1875 | LR: 1.89e-09 | MLM: 2.4066 | CTC: 3.7809
Step 12200/1000000 | Loss: 7.5676 | LR: 1.90e-09 | MLM: 2.9251 | CTC: 4.6425
Step 12300/1000000 | Loss: 5.9323 | LR: 1.92e-09 | MLM: 2.4822 | CTC: 3.4500
Step 12400/1000000 | Loss: 4.9870 | LR: 1.93e-09 | MLM: 2.9793 | CTC: 2.0077
Step 12500/1000000 | Loss: 7.4131 | LR: 1.95e-09 | MLM: 3.2750 | CTC: 4.1381
Step 12600/1000000 | Loss: 6.1741 | LR: 1.96e-09 | MLM: 2.9587 | CTC: 3.2153
Step 12700/1000000 | Loss: 5.4715 | LR: 1.98e-09 | MLM: 2.6421 | CTC: 2.8294
Step 12800/1000000 | Loss: 6.2979 | LR: 2.00e-09 | MLM: 2.9579 | CTC: 3.3400
Step 12900/1000000 | Loss: 5.5215 | LR: 2.01e-09 | MLM: 2.4852 | CTC: 3.0362
Step 13000/1000000 | Loss: 4.9741 | LR: 2.03e-09 | MLM: 2.6398 | CTC: 2.3343
Step 13100/1000000 | Loss: 8.4722 | LR: 2.04e-09 | MLM: 3.5174 | CTC: 4.9548
Step 13200/1000000 | Loss: 6.4462 | LR: 2.06e-09 | MLM: 2.8056 | CTC: 3.6407
Step 13300/1000000 | Loss: 4.6926 | LR: 2.07e-09 | MLM: 2.4625 | CTC: 2.2301
Step 13400/1000000 | Loss: 4.5745 | LR: 2.09e-09 | MLM: 2.7831 | CTC: 1.7914
Step 13500/1000000 | Loss: 8.1620 | LR: 2.10e-09 | MLM: 3.6233 | CTC: 4.5388
Step 13600/1000000 | Loss: 7.1589 | LR: 2.12e-09 | MLM: 3.3239 | CTC: 3.8350
Step 13700/1000000 | Loss: 7.7328 | LR: 2.14e-09 | MLM: 3.0958 | CTC: 4.6369
Step 13800/1000000 | Loss: 6.6437 | LR: 2.15e-09 | MLM: 2.6275 | CTC: 4.0161
Step 13900/1000000 | Loss: 6.8764 | LR: 2.17e-09 | MLM: 2.9468 | CTC: 3.9295
Step 14000/1000000 | Loss: 5.3147 | LR: 2.18e-09 | MLM: 2.6224 | CTC: 2.6923
Step 14100/1000000 | Loss: 4.9287 | LR: 2.20e-09 | MLM: 2.8133 | CTC: 2.1154
Step 14200/1000000 | Loss: 7.3808 | LR: 2.21e-09 | MLM: 3.1594 | CTC: 4.2214
Step 14300/1000000 | Loss: 4.3425 | LR: 2.23e-09 | MLM: 2.2221 | CTC: 2.1205
Step 14400/1000000 | Loss: 5.7605 | LR: 2.25e-09 | MLM: 2.4537 | CTC: 3.3068
Step 14500/1000000 | Loss: 4.5453 | LR: 2.26e-09 | MLM: 2.2940 | CTC: 2.2514
Step 14600/1000000 | Loss: 4.2488 | LR: 2.28e-09 | MLM: 2.2482 | CTC: 2.0005
Step 14700/1000000 | Loss: 5.7842 | LR: 2.29e-09 | MLM: 3.3425 | CTC: 2.4417
Step 14800/1000000 | Loss: 6.5911 | LR: 2.31e-09 | MLM: 2.8588 | CTC: 3.7324
Step 14900/1000000 | Loss: 7.1620 | LR: 2.32e-09 | MLM: 2.9845 | CTC: 4.1775
Step 15000/1000000 | Loss: 6.5573 | LR: 2.34e-09 | MLM: 2.9985 | CTC: 3.5588
Step 15100/1000000 | Loss: 6.9470 | LR: 2.35e-09 | MLM: 2.7656 | CTC: 4.1814
Step 15200/1000000 | Loss: 7.0087 | LR: 2.37e-09 | MLM: 2.9529 | CTC: 4.0558
Step 15300/1000000 | Loss: 5.1518 | LR: 2.39e-09 | MLM: 2.6461 | CTC: 2.5057
Step 15400/1000000 | Loss: 6.7326 | LR: 2.40e-09 | MLM: 2.9309 | CTC: 3.8016
Step 15500/1000000 | Loss: 6.1777 | LR: 2.42e-09 | MLM: 3.3772 | CTC: 2.8006
Step 15600/1000000 | Loss: 6.5500 | LR: 2.43e-09 | MLM: 2.4423 | CTC: 4.1077
Step 15700/1000000 | Loss: 5.0080 | LR: 2.45e-09 | MLM: 2.5728 | CTC: 2.4351
Step 15800/1000000 | Loss: 5.0546 | LR: 2.46e-09 | MLM: 2.8548 | CTC: 2.1999
Step 15900/1000000 | Loss: 4.6658 | LR: 2.48e-09 | MLM: 2.4896 | CTC: 2.1762
Step 16000/1000000 | Loss: 4.9432 | LR: 2.50e-09 | MLM: 2.8207 | CTC: 2.1225
Step 16100/1000000 | Loss: 3.8671 | LR: 2.51e-09 | MLM: 1.9888 | CTC: 1.8784
Step 16200/1000000 | Loss: 5.8554 | LR: 2.53e-09 | MLM: 2.8431 | CTC: 3.0123
Step 16300/1000000 | Loss: 6.6215 | LR: 2.54e-09 | MLM: 2.9179 | CTC: 3.7036
Step 16400/1000000 | Loss: 4.4400 | LR: 2.56e-09 | MLM: 2.2857 | CTC: 2.1543
Step 16500/1000000 | Loss: 6.8367 | LR: 2.57e-09 | MLM: 2.7655 | CTC: 4.0712
Step 16600/1000000 | Loss: 6.9510 | LR: 2.59e-09 | MLM: 3.1235 | CTC: 3.8275
Step 16700/1000000 | Loss: 6.6159 | LR: 2.60e-09 | MLM: 3.3118 | CTC: 3.3041
